date,5. volume,4. close,2. high,1. open,3. low
2018-11-12 09:31:00,0.0,3.3,3.3,3.22,3.22
2018-11-12 09:32:00,42605.0,3.385,3.385,3.29,3.29
2018-11-12 09:33:00,58714.0,3.37,3.42,3.41,3.37
2018-11-12 09:34:00,32988.0,3.3001,3.36,3.36,3.3001
2018-11-12 09:35:00,30022.0,3.3,3.31,3.305,3.3
2018-11-12 09:36:00,120232.0,3.37,3.37,3.29,3.26
2018-11-12 09:37:00,7763.0,3.3573,3.3573,3.3573,3.3573
2018-11-12 09:38:00,41130.0,3.43,3.43,3.36,3.36
2018-11-12 09:39:00,49328.0,3.45,3.46,3.45,3.45
2018-11-12 09:40:00,18302.0,3.41,3.425,3.425,3.405
2018-11-12 09:41:00,36096.0,3.4035,3.44,3.43,3.39
2018-11-12 09:42:00,32158.0,3.42,3.45,3.43,3.42
2018-11-12 09:43:00,18761.0,3.43,3.43,3.43,3.43
2018-11-12 09:44:00,33582.0,3.44,3.44,3.415,3.415
2018-11-12 09:45:00,22768.0,3.4401,3.47,3.4467,3.4401
2018-11-12 09:46:00,46384.0,3.475,3.475,3.45,3.45
2018-11-12 09:47:00,39225.0,3.4983,3.4983,3.48,3.48
2018-11-12 09:48:00,7414.0,3.5015,3.5015,3.5015,3.5015
2018-11-12 09:49:00,47250.0,3.51,3.51,3.5001,3.5001
2018-11-12 09:50:00,5659.0,3.5,3.5,3.5,3.5
2018-11-12 09:51:00,11399.0,3.5,3.505,3.505,3.5
2018-11-12 09:52:00,13312.0,3.5,3.5,3.5,3.5
2018-11-12 09:53:00,26400.0,3.495,3.499,3.4901,3.4901
2018-11-12 09:54:00,1903.0,3.5,3.5,3.5,3.5
2018-11-12 09:55:00,5621.0,3.5,3.5,3.5,3.5
2018-11-12 09:56:00,19499.0,3.545,3.545,3.495,3.495
2018-11-12 09:57:00,16148.0,3.549,3.549,3.54,3.54
2018-11-12 09:58:00,50198.0,3.61,3.62,3.55,3.55
2018-11-12 09:59:00,15758.0,3.5937,3.5937,3.5937,3.5937
2018-11-12 10:00:00,9630.0,3.5525,3.5525,3.5525,3.5525
2018-11-12 10:01:00,8031.0,3.53,3.53,3.53,3.53
2018-11-12 10:02:00,10819.0,3.55,3.55,3.53,3.53
2018-11-12 10:03:00,30084.0,3.54,3.54,3.54,3.54
2018-11-12 10:04:00,3235.0,3.5201,3.5201,3.5201,3.5201
2018-11-12 10:05:00,2926.0,3.5281,3.5281,3.5281,3.5281
2018-11-12 10:06:00,11041.0,3.5,3.5,3.5,3.5
